Description	Resource	Path	Location	Type
The field CAgileParentRelationService.repository is hiding a field from type CAbstractService<CAgileParentRelation>	CAgileParentRelationService.java	/derbent/src/main/java/tech/derbent/api/domains	line 30	Java Problem
The field CBabDeviceService.repository is hiding a field from type CAbstractService<CBabDevice>	CBabDeviceService.java	/derbent/src/main/java/tech/derbent/bab/device/service	line 30	Java Problem
The field CBabDeviceService.sessionService is hiding a field from type CAbstractService<CBabDevice>	CBabDeviceService.java	/derbent/src/main/java/tech/derbent/bab/device/service	line 31	Java Problem
The field CBabNodeCAN.DEFAULT_COLOR is hiding a field from type CBabNode	CBabNodeCAN.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 17	Java Problem
The field CBabNodeCAN.DEFAULT_ICON is hiding a field from type CBabNode	CBabNodeCAN.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 18	Java Problem
The field CBabNodeCAN.ENTITY_TITLE_PLURAL is hiding a field from type CBabNode	CBabNodeCAN.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 19	Java Problem
The field CBabNodeCAN.ENTITY_TITLE_SINGULAR is hiding a field from type CBabNode	CBabNodeCAN.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 20	Java Problem
The field CBabNodeEthernet.DEFAULT_COLOR is hiding a field from type CBabNode	CBabNodeEthernet.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 17	Java Problem
The field CBabNodeEthernet.DEFAULT_ICON is hiding a field from type CBabNode	CBabNodeEthernet.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 18	Java Problem
The field CBabNodeEthernet.ENTITY_TITLE_PLURAL is hiding a field from type CBabNode	CBabNodeEthernet.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 19	Java Problem
The field CBabNodeEthernet.ENTITY_TITLE_SINGULAR is hiding a field from type CBabNode	CBabNodeEthernet.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 20	Java Problem
The field CBabNodeModbus.DEFAULT_COLOR is hiding a field from type CBabNode	CBabNodeModbus.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 17	Java Problem
The field CBabNodeModbus.DEFAULT_ICON is hiding a field from type CBabNode	CBabNodeModbus.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 18	Java Problem
The field CBabNodeModbus.ENTITY_TITLE_PLURAL is hiding a field from type CBabNode	CBabNodeModbus.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 19	Java Problem
The field CBabNodeModbus.ENTITY_TITLE_SINGULAR is hiding a field from type CBabNode	CBabNodeModbus.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 20	Java Problem
The field CBabNodeROS.DEFAULT_COLOR is hiding a field from type CBabNode	CBabNodeROS.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 17	Java Problem
The field CBabNodeROS.DEFAULT_ICON is hiding a field from type CBabNode	CBabNodeROS.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 18	Java Problem
The field CBabNodeROS.ENTITY_TITLE_PLURAL is hiding a field from type CBabNode	CBabNodeROS.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 19	Java Problem
The field CBabNodeROS.ENTITY_TITLE_SINGULAR is hiding a field from type CBabNode	CBabNodeROS.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 20	Java Problem
The field CBabNodeService.repository is hiding a field from type CAbstractService<CBabNode>	CBabNodeService.java	/derbent/src/main/java/tech/derbent/bab/node/service	line 34	Java Problem
The field CBabNodeService.sessionService is hiding a field from type CAbstractService<CBabNode>	CBabNodeService.java	/derbent/src/main/java/tech/derbent/bab/node/service	line 35	Java Problem
The field CParentChildRelationService.repository is hiding a field from type CAbstractService<CParentChildRelation>	CParentChildRelationService.java	/derbent/src/main/java/tech/derbent/api/domains	line 27	Java Problem
Empty block should be documented	CComponentValidationExecution.java	/derbent/src/main/java/tech/derbent/app/validation/validationsession/view	line 613	Java Problem
Empty block should be documented	ICommentRepository.java	/derbent/src/main/java/tech/derbent/app/comments/service	line 6	Java Problem
Empty block should be documented	ILinkRepository.java	/derbent/src/main/java/tech/derbent/app/links/service	line 6	Java Problem
Empty block should be documented	IWorkflowRepository.java	/derbent/src/main/java/tech/derbent/api/workflow/service	line 8	Java Problem
The method actionReport() from the type CPageService<EntityClass> can potentially be declared as static	CPageService.java	/derbent/src/main/java/tech/derbent/api/services/pageservice	line 235	Java Problem
The method buildEmailValue(String) from the type CPageTestAuxillaryComprehensiveTest can be declared as static	CPageTestAuxillaryComprehensiveTest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 191	Java Problem
The method calculateLineTotal(CInvoiceItem) from the type CInvoiceItemService can potentially be declared as static	CInvoiceItemService.java	/derbent/src/main/java/tech/derbent/app/invoices/invoiceitem/service	line 34	Java Problem
The method canHaveChildren(CProjectItem<?>) from the type CParentChildRelationService can potentially be declared as static	CParentChildRelationService.java	/derbent/src/main/java/tech/derbent/api/domains	line 40	Java Problem
The method clearAuthentication() from the type CBabDataInitializerTest can potentially be declared as static	CBabDataInitializerTest.java	/derbent/src/test/java/tech/derbent/bab/config	line 31	Java Problem
The method clickFirstEnabled(Locator, String) from the type CAdaptivePageTest can be declared as static	CAdaptivePageTest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 133	Java Problem
The method compareNullable(String, String) from the type CComponentListLinks can be declared as static	CComponentListLinks.java	/derbent/src/main/java/tech/derbent/app/links/view	line 104	Java Problem
The method copy_invokeCopy(CEntityDB<?>, CEntityDB<?>, Boolean, Consumer<Boolean>) from the type CEntityDB<EntityClass> can potentially be declared as static	CEntityDB.java	/derbent/src/main/java/tech/derbent/api/entity/domain	line 77	Java Problem
The method copyCollection(Supplier<? extends Collection<T>>, Consumer<? super Collection<T>>, boolean) from the type CEntityDB<EntityClass> can potentially be declared as static	CEntityDB.java	/derbent/src/main/java/tech/derbent/api/entity/domain	line 87	Java Problem
The method copyField(Supplier<T>, Consumer<T>) from the type CEntityDB<EntityClass> can potentially be declared as static	CEntityDB.java	/derbent/src/main/java/tech/derbent/api/entity/domain	line 133	Java Problem
The method createBoldSpan(String) from the type CComponentListValidationCaseResults can be declared as static	CComponentListValidationCaseResults.java	/derbent/src/main/java/tech/derbent/app/validation/validationsession/view	line 564	Java Problem
The method createBoldSpan(String) from the type CComponentListValidationSteps can be declared as static	CComponentListValidationSteps.java	/derbent/src/main/java/tech/derbent/app/validation/validationstep/view	line 601	Java Problem
The method createConfigUnchecked(Class<?>, Object) from the type CDialogLink can be declared as static	CDialogLink.java	/derbent/src/main/java/tech/derbent/app/links/view	line 104	Java Problem
